Name,Year,Genre,Style,r,g,b
The Goat Herd,1862,sketch and study,Realism,644,625,650
Dog,1862,animal painting,Post-Impressionism,803,759,735
Milk Jug,1862,still life,Realism,676,647,629
Barn and Farmhouse,1864,landscape,Post-Impressionism,625,600,584
Two Sketches of a Man Leaning on His Spade,1867,sketch and study,Realism,731,752,727
Old Woman Asleep after Rops,1873,genre painting,Realism,624,436,252
"Vincent's Boarding House in Hackford Road, Brixton, London",1873,sketch and study,Realism,752,673,519
Driveway,1873,landscape,Post-Impressionism,752,548,342
Canal,1873,landscape,Post-Impressionism,804,698,524
"Austin Friars Church, London",1874,sketch and study,Realism,599,578,571
Town d'Avray: L'Etang au Batelier,1875,sketch and study,Realism,829,742,597
Vicarage and Church at Etten,1876,sketch and study,Realism,803,640,389
Vicarage at Etten,1876,sketch and study,Realism,803,803,799
"View of Royal Road, Ramsgate",1876,sketch and study,Realism,802,645,437
"View of Royal Road, Ramsgate",1876,sketch and study,Realism,804,610,390
Churches at Petersham and Turnham Green,1876,sketch and study,Post-Impressionism,752,709,588
Mills in the Neighbourhood of Dordrecht,1877,sketch and study,Realism,753,671,523
The Cave of Machpelah,1877,sketch and study,Realism,931,652,406
“Au Charbonnage” Café,1878,cityscape,Realism,853,741,556
A house Magros,1879,cityscape,Realism,700,674,654
A Zandmennik house,1879,cityscape,Realism,701,625,596
Coal Shoveler,1879,genre painting,Realism,726,692,674
Coalmine in the Borinage,1879,cityscape,Realism,829,622,275
Miners,1880,genre painting,Realism,719,725,726
Miners in the Snow at Dawn,1880,sketch and study,Realism,904,812,655
The Angelus (after Millet),1880,genre painting,Realism,753,628,546
A Digger,1881,genre painting,Realism,727,638,449
A Girl Raking,1881,genre painting,Realism,710,623,535
A Man with a Broom,1881,genre painting,Realism,747,664,566
A Marsh,1881,landscape,Realism,829,755,678
An Old Man Putting Dry Rice on the Hearth,1881,genre painting,Realism,804,615,396
Barn with Moss-Covered Roof,1881,landscape,Realism,844,769,587
Boy Cutting Grass with a Sickle,1881,genre painting,Post-Impressionism,843,766,494
Daughter of Jacob Meyer,1881,portrait,Realism,673,648,499
Digger,1881,genre painting,Realism,623,599,549
Digger,1881,genre painting,Realism,702,606,480
Digger,1881,genre painting,Realism,879,740,625
Farmer Leaning on his Spade,1881,genre painting,Realism,625,567,523
Farmer sitting at the fireside and reading,1881,genre painting,Realism,678,682,562
Field in a Thunderstorm,1881,sketch and study,Realism,752,674,543
Field with Thunderstorm,1881,sketch and study,Realism,548,533,477
French Peasant Woman Suckling Her Baby after Dalou,1881,genre painting,Realism,904,631,347
Girl Kneeling,1881,genre painting,Realism,649,617,575
Girl Kneeling in Front of a Bucket,1881,genre painting,Realism,675,602,554
Girl with Black Cap Sitting on the Ground,1881,genre painting,Realism,775,773,778
"Kneeling Man, Planting",1881,genre painting,Realism,701,617,604
Landscape with Trees,1881,landscape,Realism,804,557,339
Landscape with Windmill,1881,landscape,Realism,600,546,533
Man Putting Potatoes in a Sack,1881,sketch and study,Realism,700,587,479
Man with a Sack of Wood,1881,sketch and study,Realism,778,568,329
Man with Saw,1881,sketch and study,Realism,752,665,628
Man with Winnow,1881,genre painting,Realism,727,647,608
Man Writing Facing Left,1881,sketch and study,Realism,804,713,615
Marsh with Water Lillies,1881,sketch and study,Realism,777,606,443
Miners Women Carrying Sacks (The Bearers of the Burden),1881,genre painting,Realism,722,670,605
Mother at the Cradle and Child Sitting on the Floor,1881,genre painting,Realism,880,815,609
Near the Hearth,1881,genre painting,Realism,778,663,529
Old Man Warming Himself,1881,genre painting,Realism,778,684,583
Peasant Girl Standing,1881,portrait,Realism,829,668,561
Peasant Sitting by the Fireplace (Worn Out),1881,sketch and study,Realism,804,756,740
Peasant Sitting by the Fireplace (Worn Out),1881,genre painting,Realism,778,643,418
Peasant with a Chopping Knife,1881,sketch and study,Realism,548,547,546
Peasant with a Stick,1881,sketch and study,Realism,676,615,577
Peasant Woman Sowing with a Basket,1881,genre painting,Realism,727,619,373
Pollard Willow,1881,landscape,Realism,778,627,519
"Portrait of Vincent van Gogh, the Artist s Grandfather",1881,portrait,Realism,701,611,488
Portrait possibly of Willemien van Gogh,1881,portrait,Realism,752,691,683
Reaper with Sickle (after Millet),1881,sketch and study,Realism,803,544,313
Road with Pollard Willows,1881,sketch and study,Realism,726,665,540
Road with Pollard Willows,1881,sketch and study,Realism,802,755,639
Road with Pollard Willows,1881,sketch and study,Realism,777,683,542
Road with Pollard Willows and Man with Broom,1881,sketch and study,Realism,675,659,644
Scheveningen Woman,1881,genre painting,Realism,1007,749,425
Scheveningen Woman Knitting,1881,genre painting,Realism,535,612,633
Scheveningen Woman Sewing,1881,sketch and study,Realism,724,675,557
Scheveningen Woman Standing,1881,sketch and study,Realism,726,635,582
Sculpture and Still Life with Cabbage and Clogs,1881,sketch and study,Realism,676,595,542
Small House on a Road with Pollard Willows,1881,sketch and study,Realism,854,720,645
Sower,1881,sketch and study,Realism,650,586,542
Sower,1881,genre painting,Realism,675,617,570
Sower,1881,sketch and study,Realism,668,674,675
Sower (after Millet),1881,genre painting,Realism,854,684,522
Sower with Basket,1881,sketch and study,Realism,600,589,531
Sower with Hand in Sack,1881,sketch and study,Realism,878,796,572
Sower with Hand in Sack,1881,sketch and study,Realism,778,730,695
Still Life with Beer Mug and Fruit,1881,still life,Realism,574,308,192
Still Life with Cabbage and Clogs,1881,still life,Realism,700,576,359
The Garden of the Parsonage with Arbor,1881,landscape,Realism,747,680,620
Unfinished Sketch of an Interior with a Pan above the Fire,1881,sketch and study,Realism,854,710,613
Windmils at Dordrecht,1881,landscape,Realism,879,700,502
Woman Churning Butter,1881,genre painting,Realism,648,628,580
Woman Grinding Coffee,1881,genre painting,Realism,727,487,300
Woman Mending Stockings,1881,genre painting,Realism,701,498,349
Woman Peeling Potatoes near a Window,1881,sketch and study,Realism,701,615,590
Woman Peeling Potatoes near a Window,1881,genre painting,Realism,700,675,658
Woman Sewing,1881,sketch and study,Realism,650,598,616
Woman Sewing,1881,genre painting,Realism,767,604,513
Woman Sitting at the Fireside,1881,genre painting,Realism,675,675,667
Woman Sitting on a Basket with Head in Hands,1881,genre painting,Realism,623,608,443
Young woman knitting,1881,genre painting,Realism,472,392,404
Young Woman Sewing,1881,genre painting,Realism,599,527,528
Donkey and Cart,1881,genre painting,Post-Impressionism,777,553,307
Route,1881,sketch and study,Post-Impressionism,803,714,552
"Woman near a Window twice, Man with Winnow, Sower, and Woman with Broom",1881,sketch and study,Post-Impressionism,930,825,644
The Bridge,1882,sketch and study,Post-Impressionism,676,638,623
A Carpenter with Apron,1882,portrait,Realism,600,594,578
A Girl in a Wood,1882,sketch and study,Realism,796,746,609
"A Girl in the Street, Two Coaches in the Background",1882,genre painting,Realism,752,623,258
An Almshouse Man in a Top Hat,1882,portrait,Realism,760,668,465
Baby,1882,portrait,Realism,879,661,423
Baby in a Carriage,1882,sketch and study,Realism,675,665,615
Beach and Boats,1882,sketch and study,Realism,802,746,624
Beach and Sea,1882,sketch and study,Realism,700,646,515
Beach at Scheveningen in Calm Weather,1882,landscape,Realism,1007,814,601
Beach with People Walking and Boats,1882,genre painting,Realism,880,774,585
Bench in a Wood,1882,landscape,Realism,599,599,599
Bench with Four Persons,1882,sketch and study,Realism,829,691,625
Bench with Four Persons and Baby,1882,genre painting,Realism,547,545,541
Bench with Three Persons,1882,genre painting,Realism,600,599,598
Bending Woman,1882,sketch and study,Realism,673,666,605
Bent Figure of a Woman,1882,portrait,Realism,752,611,536
Bent Figure of a Woman Sien,1882,portrait,Realism,802,771,631
Bleaching Ground,1882,cityscape,Realism,752,595,428
Bridge and Houses on the Corner of Herengracht-Prinsessegracht,1882,cityscape,Realism,879,767,647
Carpenter,1882,sketch and study,Realism,701,696,683
"Carpenter, Seen from the Back",1882,sketch and study,Realism,753,711,688
Carpenter`s Workshop Seen from the Artist`s Studio,1882,cityscape,Realism,650,431,265
Carpenter's Yard and Laundry,1882,cityscape,Realism,713,711,726
Church Pew with Worshippers,1882,genre painting,Realism,725,712,619
Cluster of Old Houses with the New Church in The Hague,1882,cityscape,Realism,752,488,320
Country Lane with Trees,1882,landscape,Realism,648,644,650
Cradle,1882,genre painting,Realism,620,581,499
Digger,1882,genre painting,Realism,956,808,576
Digger,1882,genre painting,Realism,829,710,491
Digger,1882,genre painting,Realism,753,607,434
Digger,1882,genre painting,Realism,752,636,471
Diggers in Torn-Up Street,1882,sketch and study,Realism,727,664,530
Donkey Cart with Boy and Scheveningen Woman,1882,genre painting,Realism,568,564,574
Dunes,1882,landscape,Realism,854,593,322
Dunes with Figures,1882,genre painting,Realism,726,690,596
Dunes with Figures,1882,genre painting,Realism,610,412,375
Edge of a Wood,1882,landscape,Realism,829,659,434
"Entrance to the Pawn Bank, The Hague",1882,cityscape,Realism,778,664,519
Factory,1882,cityscape,Realism,931,905,845
Figure of a Woman with Unfinished Chair,1882,sketch and study,Realism,625,564,533
Fish-Drying Barn,1882,cityscape,Realism,701,667,660
Fish-Drying Barn in Scheveningen,1882,cityscape,Realism,622,624,650
"Fish-Drying Barn, Seen From a Height",1882,cityscape,Realism,905,753,597
Fisherman on the Beach,1882,portrait,Realism,829,585,409
Fisherman with Basket on his Back,1882,sketch and study,Realism,981,856,708
Fisherman's Wife on the Beach,1882,portrait,Realism,803,616,456
Four Men Cutting Wood,1882,genre painting,Realism,698,652,454
Four People on a Bench,1882,genre painting,Realism,854,590,332
Gasworks,1882,cityscape,Realism,752,618,454
Girl Carrying a Loaf of Bread,1882,sketch and study,Realism,698,684,640
Girl in the Woods,1882,genre painting,Realism,650,388,180
Girl in White in the Woods,1882,genre painting,Realism,957,580,323
"Girl near the Stove, Grinding Coffee",1882,sketch and study,Realism,827,768,643
"Girl Sitting, Knitting",1882,genre painting,Realism,650,571,518
"Girl Standing, Knitting",1882,genre painting,Realism,699,662,605
Group of People on the Beach with Fishing Boat Arriving,1882,sketch and study,Realism,650,599,491
Head of a Woman,1882,portrait,Realism,549,419,335
Iron Mill in The Hague,1882,landscape,Realism,829,684,374
Lower Part of the Windmill De Laakmolen,1882,landscape,Realism,650,597,552
Man and Woman Seen from the Back,1882,sketch and study,Realism,904,753,474
Man Carrying Peat,1882,sketch and study,Realism,549,375,196
Man Sitting by the Stove The Pauper,1882,genre painting,Realism,548,548,548
Man Sitting with a Glass in His Hand,1882,sketch and study,Realism,673,670,675
Man Stooping with Stick or Spade,1882,genre painting,Realism,734,501,266
Man with his head in his hands,1882,portrait,Realism,727,600,378
Man with Pipe and Eye Bandage,1882,portrait,Realism,658,617,460
Man with Top Hat,1882,portrait,Realism,662,628,478
"Man, Sitting, Reading a Book",1882,genre painting,Realism,493,497,487
"Man, Standing with Arms Folded",1882,sketch and study,Realism,778,713,683
"Man, Standing, Reading a Book",1882,genre painting,Realism,522,495,444
"Meadow, In the Background New Church",1882,landscape,Realism,600,586,590
Meadows near Rijswijk,1882,landscape,Realism,551,414,476
Meadows near Rijswijk and the Schenkweg,1882,landscape,Realism,992,885,688
Miners in the Snow Winter,1882,genre painting,Realism,904,674,501
Miners' wives carrying sacks of coal,1882,genre painting,Realism,880,731,513
"Nude Woman, Half-Length",1882,nude painting (nu),Realism,700,701,701
Old Man in a Tail-coat,1882,portrait,Realism,804,646,375
Old Man Reading,1882,genre painting,Realism,701,572,386
Old Man with a Stick,1882,portrait,Realism,777,633,401
Old Man with a Top Hat,1882,portrait,Realism,701,628,469
Old Street The Paddemoes,1882,cityscape,Realism,879,795,676
Old Woman Seen from Behind,1882,sketch and study,Realism,956,864,686
Old Woman with a Shawl and a Walking-Stick,1882,genre painting,Realism,854,676,465
Orphan Man,1882,portrait,Realism,523,523,523
Orphan Man Holding Top Hat in his Hand,1882,portrait,Realism,675,642,614
Orphan Man Holding Top Hat in his Hand,1882,sketch and study,Realism,599,554,488
Orphan Man in Sunday Clothes with Eye Bandage,1882,portrait,Realism,461,522,440
