skill_level,cooking_time,prep_time,serves,carbohydrate,kcal,protein,salt,saturatedfat,fat,sugar,ingredients
Easy,0,900,4,32,363,13,1.02,7,22,0,couscous pesto vegetable stock mozzarella tomato rocket olive oil pesto lemon
Easy,1800,900,4,35,253,5,0.1,3,7,34,white wine clear honey nectarine amaretti biscuit egg yolk flaked almond golden caster sugar butter vanilla pod raspberries clotted cream
More effort,3300,3600,0,99,1036,15,1.25,35,67,75,butter golden caster sugar self-raising flour ground almond baking powder egg natural yogurt vanilla extract cocoa powder butter light muscovado sugar dark muscovado sugar self-raising flour ground almond baking powder egg natural yogurt vanilla extract cocoa caramel dark chocolate milk chocolate double cream
Easy,0,0,4,5,330,40,1.24,8,16,0,chicken breast goat's cheese thyme tomato olive oil white wine
Easy,600,600,4,37,392,30,0.6,3,13,21,skinless boneless chicken thigh vegetable oil onion smoked paprika ground cumin cider vinegar chipotle paste passata brown sugar pineapple coriander tortilla sauce
Easy,1800,300,4,50,518,44,2.4,8,18,9,minced beef olive oil chopped tomato herb gnocchi mozzarella spinach
Easy,1200,600,8,14,134,6,0.97,2,6,6,Brussels sprout pancetta chestnut muscovado sugar vegetable stock
More effort,2100,1500,0,40,315,4,0.5,10,18,25,self-raising flour golden caster sugar butter clear honey egg cornflour poppy seed icing sugar strawberry
Easy,2400,2400,0,38,330,23,0.71,2,10,2,potato salmon lemon dill tartar egg plain flour breadcrumb olive oil
Easy,300,600,0,18,265,3,0.1,12,20,17,double cream whole milk Earl Grey tea bag English Breakfast tea bag chocolate
Easy,300,900,2,69,500,29,1.81,2,14,16,chicken breast spring onion red pepper soy sauce sesame oil honey egg noodle coriander
Easy,900,300,1,4,127,26,2.3,,1,3,garlic clove lemon ketchup chicken stock prawn broccoli
Easy,0,0,6,37,640,39,4.24,13,37,0,vegetable oil pancetta pork onion carrot garlic clove rosemary lentil chicken stock white wine tomato parsley winter salad
Easy,2100,1800,5,33,288,23,3.6,2,8,4,potato plain flour egg baking powder oil dill milk cucumber red onion poppy seed caster sugar dill gravadlax
More effort,3000,0,6,2,129,19,0.17,2,5,0,shallot garlic clove root ginger red chilli groundnut oil ground turmeric ground nutmeg ground cloves minced chicken lime leaf desiccated coconut lemongrass banana leaf
Easy,600,300,0,8,80,3,0.5,2,4,4,pancetta white bread olive oil soup chive
Easy,9000,1200,8,9,408,56,0.64,7,17,8,beef balsamic vinegar beef stock garlic clove onion carrot thyme bay leaf cornflour
Easy,1800,600,3,55,267,7,1.4,1,3,17,sweet potato garlic clove ginger sesame oil Thai fish sauce soy sauce asparagus sesame seed
